"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"FB6","L_1206","7.7978mm","33.147mm","7.7978mm","33.147mm","6.3978mm","33.147mm","B","180.00","BLM31PG330SN1"
"FB5","L_1206","41.4528mm","84.2772mm","41.4528mm","84.2772mm","40.0528mm","84.2772mm","B","180.00","BLM31PG330SN1"
"FB4","L_0603","91.186mm","10.9662mm","91.186mm","10.9662mm","91.186mm","11.8162mm","T","270.00","FBMH1608HL601-T"
"FB3","L_0603","93.218mm","10.9662mm","93.218mm","10.9662mm","93.218mm","11.8162mm","T","270.00","FBMH1608HL601-T"
"FB2","L_0603","20.7528mm","14.9192mm","20.7528mm","14.9192mm","19.9028mm","14.9192mm","T","360.00","FBMH1608HL601-T"
"FB1","L_0603","27.3512mm","15.7226mm","27.3512mm","15.7226mm","27.3512mm","16.5726mm","T","270.00","FBMH1608HL601-T"
"D4","SOT-23","32.8168mm","72.9234mm","32.8168mm","72.9234mm","31.7168mm","73.8734mm","T","270.00","BAT54LT1G"
"D3","SOT-23","11.6078mm","47.2694mm","11.6078mm","47.2694mm","12.7078mm","46.3194mm","T","90.00","BAT54LT1G"
"D2","SOT-23","20.9804mm","63.5508mm","20.9804mm","63.5508mm","22.0804mm","62.6008mm","T","90.00","BAT54LT1G"
"D1","SOT-23","82.8548mm","89.1794mm","82.8548mm","89.1794mm","83.9548mm","90.1294mm","B","270.00","BAT54LT1G"
"CN2","USB-MINIB","85.01mm","-14.05mm","85mm","-14.9mm","82.8mm","-13.884mm","T","0.00","690-005-299-043"
"CN1","USB-MINIB","65.01mm","-14.05mm","65mm","-14.9mm","67.2098mm","-13.884mm","T","0.00","690-005-299-043"
"C215","C_0402","72.9mm","16.7mm","72.9mm","16.7mm","72.4mm","16.7mm","T","360.00",""
"C214","C_0402","36mm","14.5mm","36mm","14.5mm","36mm","14mm","T","90.00",""
"C213","C_0402","30.9118mm","76.327mm","30.9118mm","76.327mm","30.9118mm","75.827mm","T","90.00",""
"C212","C_0402","14.8336mm","47.2694mm","14.8336mm","47.2694mm","14.8336mm","46.7694mm","T","90.00",""
"C211","C_0402","24.003mm","63.0936mm","24.003mm","63.0936mm","24.003mm","62.5936mm","T","90.00",""
"C210","C_1210","34.7472mm","62.4078mm","34.7472mm","62.4078mm","34.7472mm","60.9078mm","B","90.00","GRM32ER70J476ME20L"
"C209","C_1210","34.6964mm","55.3466mm","34.6964mm","55.3466mm","34.6964mm","56.8466mm","B","270.00","GRM32ER70J476ME20L"
"C208","C_0402","26.924mm","62.8904mm","26.924mm","62.8904mm","27.424mm","62.8904mm","B","180.00",""
"C207","C_0402","24.4856mm","62.8904mm","24.4856mm","62.8904mm","24.9856mm","62.8904mm","B","180.00",""
"C206","C_1210","22.0472mm","46.2788mm","22.0472mm","46.2788mm","20.5472mm","46.2788mm","B","360.00","C3225X5R1C226M250AA"
"C205","C_1210","22.0472mm","50.6476mm","22.0472mm","50.6476mm","20.5472mm","50.6476mm","B","360.00","C3225X5R1C226M250AA"
"C204","C_0402","44.5955mm","75.2719mm","44.5955mm","75.2719mm","44.5955mm","74.772mm","T","90.00","GRM155R61A474KE15D"
"C203","C_0402","45.9486mm","66.8782mm","45.9486mm","66.8782mm","46.4486mm","66.8782mm","T","180.00","GRM155R61A474KE15D"
"C202","C_0402","67.4624mm","67.3862mm","67.4624mm","67.3862mm","67.4624mm","66.8862mm","T","90.00","GRM155R61A474KE15D"
"C201","C_0402","51.4604mm","72.39mm","51.4604mm","72.39mm","51.4604mm","72.89mm","T","270.00","GRM155R61A474KE15D"
"C200","C_0402","50.9524mm","61.8998mm","50.9524mm","61.8998mm","51.4524mm","61.8998mm","T","180.00","GRM155R61A474KE15D"
"C199","C_0402","63.9318mm","67.8942mm","63.9318mm","67.8942mm","64.4318mm","67.8942mm","T","180.00","GRM155R61A474KE15D"
"C198","C_0402","50.927mm","80.7974mm","50.927mm","80.7974mm","50.427mm","80.7974mm","T","360.00","GRM155R61A474KE15D"
"C197","C_0402","47.9552mm","67.8942mm","47.9552mm","67.8942mm","47.4552mm","67.8942mm","T","360.00","GRM155R61A474KE15D"
"C196","C_0402","60.452mm","62.4078mm","60.452mm","62.4078mm","60.452mm","62.9078mm","T","270.00","GRM155R61A474KE15D"
"C195","C_0402","48.9458mm","76.9112mm","48.9458mm","76.9112mm","49.4458mm","76.9112mm","T","180.00","GRM155R61A474KE15D"
"C194","C_0402","49.9364mm","58.9026mm","49.9364mm","58.9026mm","50.4364mm","58.9026mm","T","180.00","GRM155R61A474KE15D"
"C193","C_0402","49.4538mm","66.3956mm","49.4538mm","66.3956mm","49.4538mm","65.8956mm","T","90.00","GRM155R61A474KE15D"
"C192","C_0402","46.4312mm","78.4098mm","46.4312mm","78.4098mm","46.4312mm","77.9098mm","T","90.00","GRM155R61A474KE15D"
